sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
1,423,703,500,933,2507,2955,2814,2976,1417,788,6422
2,355,589,370,933,2507,2955,3326,2976,1417,788,6422
3,389,667,424,954,2526,3009,3172,3063,1432,805,6422
4,355,589,370,933,2507,2955,3326,2976,1417,788,6422
5,349,579,375,825,2714,3253,3496,3273,1339,643,6422
6,393,670,413,933,2507,2955,3090,2976,1417,788,6422
7,705,985,1134,1842,2216,2498,2142,2643,2039,1421,6422
8,662,922,1106,1511,1869,2139,2188,2267,1924,1346,6422
9,361,597,330,825,2714,3253,3454,3273,1339,643,6422
10,316,515,262,803,2748,3417,3706,3487,1264,634,6422
11,349,579,375,825,2714,3253,3496,3273,1339,643,6422
12,313,519,266,847,2565,3295,3748,3271,1357,647,6422
13,316,545,318,825,2714,3253,3516,3273,1339,643,6422
14,313,519,266,847,2565,3295,3748,3271,1357,647,6422
15,373,564,353,899,2635,3291,3528,3313,1448,752,6422
16,389,667,424,954,2526,3009,3172,3063,1432,805,6422
17,307,575,357,954,2526,3009,3362,3063,1432,805,6422
18,307,575,357,954,2526,3009,3362,3063,1432,805,6422
19,360,528,339,847,2565,3295,3426,3271,1357,647,6422
20,347,592,309,825,2714,3253,3470,3273,1339,643,6422
21,309,540,268,847,2565,3295,3814,3271,1357,647,6422
22,316,515,262,803,2748,3417,3706,3487,1264,634,6422
23,357,586,317,899,2635,3291,3516,3313,1448,752,6422
24,389,667,424,954,2526,3009,3172,3063,1432,805,6422
25,313,519,266,847,2565,3295,3748,3271,1357,647,6422
26,316,545,318,825,2714,3253,3516,3273,1339,643,6422
27,360,528,339,847,2565,3295,3426,3271,1357,647,6422
28,307,575,357,954,2526,3009,3362,3063,1432,805,6422
29,299,499,289,803,2748,3417,3650,3487,1264,634,6422
30,307,575,357,954,2526,3009,3362,3063,1432,805,6422
31,494,786,584,954,2526,3009,3000,3063,1432,805,6422
32,319,549,305,847,2565,3295,3310,3271,1357,647,6422
33,313,519,266,847,2565,3295,3748,3271,1357,647,6422
34,316,545,318,825,2714,3253,3516,3273,1339,643,6422
35,357,586,317,899,2635,3291,3516,3313,1448,752,6422
36,299,499,289,803,2748,3417,3650,3487,1264,634,6422
37,349,579,375,825,2714,3253,3496,3273,1339,643,6422
38,389,667,424,954,2526,3009,3172,3063,1432,805,6422
39,389,667,424,954,2526,3009,3172,3063,1432,805,6422
40,349,579,375,825,2714,3253,3496,3273,1339,643,6422
41,373,564,353,899,2635,3291,3528,3313,1448,752,6422
42,393,670,413,933,2507,2955,3090,2976,1417,788,6422
43,423,703,500,933,2507,2955,2814,2976,1417,788,6422
44,347,592,309,825,2714,3253,3470,3273,1339,643,6422
45,309,540,268,847,2565,3295,3814,3271,1357,647,6422
46,357,586,317,899,2635,3291,3516,3313,1448,752,6422
47,349,579,375,825,2714,3253,3496,3273,1339,643,6422
48,373,564,353,899,2635,3291,3528,3313,1448,752,6422
49,299,499,289,803,2748,3417,3650,3487,1264,634,6422
50,273,507,287,803,2748,3417,3682,3487,1264,634,6422
51,393,670,413,933,2507,2955,3090,2976,1417,788,6422
52,309,540,268,847,2565,3295,3814,3271,1357,647,6422
53,357,556,378,899,2635,3291,3422,3313,1448,752,6422
54,309,540,268,847,2565,3295,3814,3271,1357,647,6422
55,299,499,289,803,2748,3417,3650,3487,1264,634,6422
56,349,579,375,825,2714,3253,3496,3273,1339,643,6422
57,347,592,309,825,2714,3253,3470,3273,1339,643,6422
58,313,519,266,847,2565,3295,3748,3271,1357,647,6422
59,299,499,289,803,2748,3417,3650,3487,1264,634,6422
60,299,499,289,803,2748,3417,3650,3487,1264,634,6422
61,349,579,375,825,2714,3253,3496,3273,1339,643,6422
62,357,586,317,899,2635,3291,3516,3313,1448,752,6422
63,313,519,266,847,2565,3295,3748,3271,1357,647,6422
64,361,597,330,825,2714,3253,3454,3273,1339,643,6422
65,316,545,318,825,2714,3253,3516,3273,1339,643,6422
66,367,530,396,899,2635,3291,3378,3313,1448,752,6422
67,389,667,424,954,2526,3009,3172,3063,1432,805,6422
68,355,589,370,933,2507,2955,3326,2976,1417,788,6422
69,355,589,370,933,2507,2955,3326,2976,1417,788,6422
70,296,523,261,803,2748,3417,3592,3487,1264,634,6422
71,299,499,289,803,2748,3417,3650,3487,1264,634,6422
72,347,592,309,825,2714,3253,3470,3273,1339,643,6422
73,357,586,317,899,2635,3291,3516,3313,1448,752,6422
74,423,703,500,933,2507,2955,2814,2976,1417,788,6422
75,355,589,370,933,2507,2955,3326,2976,1417,788,6422
76,357,586,317,899,2635,3291,3516,3313,1448,752,6422
77,299,499,289,803,2748,3417,3650,3487,1264,634,6422
78,373,564,353,899,2635,3291,3528,3313,1448,752,6422
79,357,556,378,899,2635,3291,3422,3313,1448,752,6422
80,355,589,370,933,2507,2955,3326,2976,1417,788,6422
81,349,579,375,825,2714,3253,3496,3273,1339,643,6422
82,423,703,500,933,2507,2955,2814,2976,1417,788,6422
83,361,597,330,825,2714,3253,3454,3273,1339,643,6422
84,316,515,262,803,2748,3417,3706,3487,1264,634,6422
85,361,597,330,825,2714,3253,3454,3273,1339,643,6422
86,355,589,370,933,2507,2955,3326,2976,1417,788,6422
87,307,575,357,954,2526,3009,3362,3063,1432,805,6422
88,349,579,375,825,2714,3253,3496,3273,1339,643,6422
89,299,499,289,803,2748,3417,3650,3487,1264,634,6422
90,313,519,266,847,2565,3295,3748,3271,1357,647,6422
91,296,523,261,803,2748,3417,3592,3487,1264,634,6422
92,393,670,413,933,2507,2955,3090,2976,1417,788,6422
93,316,545,318,825,2714,3253,3516,3273,1339,643,6422
94,313,519,266,847,2565,3295,3748,3271,1357,647,6422
95,347,592,309,825,2714,3253,3470,3273,1339,643,6422
96,360,528,339,847,2565,3295,3426,3271,1357,647,6422
97,360,528,339,847,2565,3295,3426,3271,1357,647,6422
98,299,499,289,803,2748,3417,3650,3487,1264,634,6422
99,361,597,330,825,2714,3253,3454,3273,1339,643,6422
100,307,575,357,954,2526,3009,3362,3063,1432,805,6422
101,309,540,268,847,2565,3295,3814,3271,1357,647,6422
102,349,579,375,825,2714,3253,3496,3273,1339,643,6422
103,360,528,339,847,2565,3295,3426,3271,1357,647,6422
104,373,564,353,899,2635,3291,3528,3313,1448,752,6422
105,347,636,392,933,2507,2955,3308,2976,1417,788,6422
106,357,586,317,899,2635,3291,3516,3313,1448,752,6422
107,357,586,317,899,2635,3291,3516,3313,1448,752,6422
108,423,703,500,933,2507,2955,2814,2976,1417,788,6422
109,393,670,413,933,2507,2955,3090,2976,1417,788,6422
110,349,579,375,825,2714,3253,3496,3273,1339,643,6422
111,373,564,353,899,2635,3291,3528,3313,1448,752,6422
