Location,N,E
"Bahawalpur University, Bahawalpur, Punjab, Pakistan","29°22'37""N","71°46'15""E"
"Bahawalpur University, Bahawalpur, Punjab, Pakistan","29°22'35""N","71°46'21""E"
"Cahk no99-p, Rahim Yar Khan, Punjab","28°25'26.0""N","70°22'48.1""E"
"Sanjarpur, Rahim Yar Khan, Punjab","28°15'13.7""N","70°00'51.1""E"
"Ahmad Pur Lamma, Rahim Yar Khan, Punjab","28°17'36.7""N","70°04'04.2""E"
"Ahmad Pur Lamma, Rahim Yar Khan, Punjab","28°17'36.7""N","70°04'04.2""E"
"Chak No. 51/P, Rahim Yar Khan, Punjab","28°33'17.2""N","70°10'40.1""E"
"Mohammad Pur, Rahim Yar Khan, Punjab","28°21'05.7""N","70°06'24.7""E"
"National Hwy, Sanjarpur, Rahim Yar Khan, Punjab","28°15'35.1""N","69°59'04.7""E"
"Ahmad Pur Lamma, Rahim Yar Khan, Punjab","28°15'58.3""N","70°03'16.4""E"
"Chak No. 042/ABS, Rahim Yar Khan, Punjab","28°57'26.2""N","70°57'42.6""E"
